"Fingerprint - Tortured Phrase","Expected Text","Nb Retrieved Papers"
"""Henon guide""","Hénon map","2"
"""ghastly bunching""","spectral clustering","2"
"""computerized-based framework""","Computer-Based Systems","2"
"""perfection, perceptivity""","precision, sensitivity","2"
"""antibiotic affectability""~5","antibiotic sensibility","2"
"""apparent light communication""","visible light communication (VLC)","2"
"""versatile to anomalies""","resilient to outliers","2"
"""expulsion from squandering water""","Removal from waste water","2"
"""Prophet 9i""","Oracle 9i","2"
"""principal thing analysis""","Principal Component Analysis (PCA)","2"
"""hesitation of node""","uncertainty of node","2"
"""blunder adjustment term""","error correction term (ECT)","2"
"""solo or sullied nanoparticle""","Single- or multi-component nanoparticle","2"
"""surface weight conveyance""","???","2"
"""untimely burst of films""","premature rupture of membranes","2"
"""universal skin imaging collaboration""","International Skin Imaging Collaboration (ISIC)","2"
"""Henon delineate""","Hénon map","2"
"""G.H.G. emanation""","G.H.G. emission","2"
"""attractive field indicator""","magnetic field detector","2"
"""molecule exchange radical polymerization""","Atom transfer radical polymerization (ATRP)","2"
"""disorganized clinical information""","unstructured clinical data","2"
"""money-related guess""","financial forecast","2"
"""scientific picture popularity""","scientific picture reputation","2"
"""ecological the board""","environmental management","2"
"""nonstop thickness""","continuous density","2"
"""most elevated exactnesses""","highest accuracies","2"
"""throwing a ticket""","voting","2"
"""division and grouping cycle""","segmentation and clustering method","2"
"""Electro graphical record""","electrocardiogram","2"
"""human imaginative"" AND ""is prescient""","human vision","2"
"""middle supreme deviation""","median absolute deviation (MAD)","2"
"""associate awful technology""","???","2"
"""Amazon Resound""","Amazon Echo","2"
"""framework fizzled""","framework collapse","2"
"""biface LSTM""","bidirectional LSTM","2"
"""directed grouping procedure""","supervised clustering algorithm","2"
"""moo distinguish""","???","2"
"""Watson and Cramp""","Watson and Crick","2"
"""autonomous squint dataset""","Asian Development Bank ? (ABD)","2"
"""memorable neglect entryway""","forget gate (a part of LSTM)","2"
"""hazy gathering""","random collection","2"
"""phishing acknowledgement""","phishing recognition","2"
"""dormant dirichlet portion""","Latent Dirichlet Allocation (LDA)","2"
"""application run follow""","application execution trace","2"
"""industrial internet of effect""","Industrial Internet of Things (IIoT)","2"
"""redeemable potassium""","extractible potassium","2"
"""outrageous inclination boosting""","EXtreme Gradient Boosting (XGBoost)","2"
"""defeating tax evasion""","“reducing tax evasion” OR “combating tax evasion”","2"
"""primary additives evaluation""","principal component analysis (PCA)","2"
"""monounsaturated oily acid""","monounsaturated fatty acids (MUFA)","2"
"""valley of error theory""","uncanny valley phenomenon","2"
"""typically appropriated short palindromic rehashes""","clustered regularly interspaced short palindromic repeats (CRISPR)","2"
"""semi-administered strategies""","semi-supervised [machine learning] methods","2"
"""organized, semi-organized, and unstructured sort""","structured, semi-structured, and unstructured","2"
"""interstitial lung contaminations (ILDs)""","interstitial lung diseases (ILDs)","2"
"""Long Island distance""","Manhattan distance","2"
"""transferrbuiltintegrated""","transfer also integrated","2"
"""Timoshenko bar hypothesis""","Timoshenko beam theory","2"
"""mechanized specialist""","virtual assistant","2"
"""neighborhood look strategy""","local search strategy","2"
"""numerous information various result""","multiple input multiple output (MIMO)","2"
"""evacuating divalent metal cation""","Removing divalent metal cation","2"
"""lung canker""","lung cancer","2"
"""crossbreed multi-objective""","hybrid multi-objective","2"
"""LSU arrangements""","LSU sequences","2"
"""Claim of Helsinki""","Declaration of Helsinki (1964)","2"
"""fascination spectral""","???","2"
"""story network design""","novel network architecture (\""novel\"" as in \""new\""...)","2"
"""nearby highlight investigation""","Line-segment Feature Analysis (LFA)","2"
"""fixing expert"" AND ""stabilizing agent""","stabilizing agent","2"
"""Information Procurement (DAQ)""","Data Acquisition (DAQ)","2"
"""average worldly flap""","median temporal lobe (MTL)","2"
"""ceaseless HBV""","chronic HBV","2"
"""concealed Markov display""","Hidden Markov Model (HMM)","2"
"""vector of tallness""","vector of dimension","2"
"""diminish energy misfortunes""","energy loss reduction","2"
"""diversion theoretic investigation""","games theory","2"
"""Tire Pressure observing frameworks""","tire pressure monitoring systems (TPMS)","2"
"""bacterial searching improvement""","bacterial foraging optimization (BFO)","2"
"""hydrogen security acceptor""","Hydrogen Bond Acceptor","2"
"""arrangement, relapse and grouping""","classification, regression and clustering","2"
"""multi-sedate obstruction""","multi-drug resistance","2"
"""covertness liposomes""","stealth liposomes","2"
"""handwritten digit reputation""","handwritten digit recognition","2"
"""earlier intellect of""","prior knowledge of [...]","2"
"""histogram of inclination direction""","histogram of oriented gradient (HOG)","2"
"""pre-educated layers""","pre-trained layers (of a neural network)","2"
"""half and half staggered""","hybrid multi-level","2"
"""kingdom of artwork""","state of the art","2"
"""component pyramid organization""","feature pyramid network (FPN)","2"
"""IEEE Global Discussion on""","IEEE International Symposium on","2"
"""Clarivate Examination""","Clarivate Analytics","2"
"""beneficiary’s optimistic curve""","receiver operating characteristic curve (ROC)","2"
"""liquid diamond show""","liquid crystal display (LCD)","2"
"""forswearing administration""","service denial","2"
"""radiation warm flux""","radiative heat flux","2"
"""Solaris working framework""","Solaris operating system","2"
"""faux neural affiliation""","artificial neural network","2"
"""harmony restricting steady""","Equilibrium binding constant","2"
"""irregular walk (RW)""","random walk (RW)","2"
"""segregated phrases""","isolated words","2"
"""symmetric bundle appearances""","symmetric packet arrivals","2"
"""mystery casting a ballot""","secret vote","2"
"""format interest community""","graph attention network (GAT)","2"
"""key recurrence (F0)""","fundamental frequency (F0)","2"
"""dynamic normal least square""","Dynamic Ordinary Least Square (DOLS)","2"
"""sickness of Parkinson""","Parkinson's disease","2"
"""encoding-unwinding""","encoding-decoding","2"
"""eBook peruses""","e-book readers","2"
"""fast Fu Liye change""","Fast Fourier Transform","2"
"""phishing site acknowledgement""","phishing site recognition","2"
"""utilitarian bunch""","functional group","2"
"""substrate misfortune""","substrate loss","2"
"""w speaks to the Wasserstein separation""","w refers to the Wasserstein distance","2"
"""bottomless erudition""","deep learning","2"
"""picture shading reconstruction""","image color restoration","2"
"""autoregressive transferring common""","autoregressive moving average (ARMA)","2"
"""flat out hazard""","absolute risk","2"
"""accuracy, responsiveness, particularity""","accuracy, sensitivity, specificity","2"
"""astute lattice""","smart network","2"
"""actual wonderful fee""","true positive rate (TPR)","2"
"""minutest potential energy""","minimum potential energy","2"
"""Mel Frequency Crystal Coefficients""","Mel Frequency Cepstral Coefficients (MFCCs)","2"
"""country of the art"" AND ""speech signal""","state of the art","2"
"""Gamma administrator""","Gamma operator","2"
"""conflicting backwood""","random forest","2"
"""attractive bulkheads""","Magnetic separator","2"
"""Gibbs inspection""","Gibbs sampling","2"
"""α-L-gulonic hyaluronic acid""","α-L-guluronic acid","2"
"""territorial normal vitality""","local average energy","2"
"""authoritative conduct researchers""","???","2"
"""car regressive moving average""","autoregressive moving average","2"
"""profound brain agencies""","deep neural networks (DNN)","2"
"""Impersonate III""","MIMIC-III","2"
"""crossbreed mists""","hybrid clouds","2"
"""heterosexual phosphorene""","anisotropic phosphorene","2"
"""flawlessly crystalline""","pure crystalline","2"
"""double veils"" AND ""binary masks""","binary masks","2"
"""neural inserting""","neural embedding","2"
"""immature Bayes""","naive Bayes","2"
"""RNA meddling""","RNA interference","2"
"""in the kilohertz broaden""","in the kilohertz range","2"
"""conclusion gizmos""","???","2"
"""spokesperson affirmation""","speaker recognition","2"
"""consumer sorbent""","Commercial sorbent","2"
"""reverse osmosis process"" AND ""technology spillover""","reverse technology spillover","2"
"""debacle alleviation activities""","disaster relief operations","2"
"""hairlike activity""","capillary action","2"
"""digression sigmoid exchange work""","(hyperbolic) tangent sigmoid transfer function","2"
"""Stefan-Boltzman steady""","Stefan-Boltzman constant","2"
"""benzenesulfonic corrosive""","benzenesulfonic acid","2"
"""understanding come about"" AND ""patient outcome""","patient outcome","2"
"""flag to noise""","signal to noise","1"
"""Bidirectional lengthy brief-term reminiscence""","Bidirectional long short-term memory (BiLSTM)","1"
"""mystery layer of the Mind Employment""","neural network's hidden layer","1"
"""fuzzy spectator""","fuzzy observer","1"
"""resolution tree classifier""","decision tree classifier","1"
"""tempestuous exterior""","convective boundary (???)","1"
"""remote neighborhood view""","wireless local area network (WLAN)","1"
"""complete mistake likelihood""","total [classification] error probability","1"
"""sans no lunch hypotheses""","\""No Free Lunch\"" theorem","1"
"""presentation hope UTAUT""~10","performance expectancy, see https://en.wikipedia.org/wiki/Unified_theory_of_acceptance_and_use_of_technology","1"
"""miscellaneous firing techniques""","shooting methods","1"
"""larger part weighted minority over-testing method""","Majority Weighted Minority Oversampling Technique (MWMOTE)","1"
"""General Serial Transport""","Universal Serial Bus (USB)","1"
"""guileless byes (NB)""","Naïve Bayes (NB)","1"
"""shine gem"" AND ""scintillator""","scintillator crystal","1"
"""inertness and exactness""","latency and accuracy","1"
"""kind prostatic hyperplasia""","Benign Prostatic Hyperplasia (BPH)","1"
"""shaky iota""","unstable atom","1"
"""human-gadget engagement""","human-machine interaction (HMI)","1"
"""fourth request PDE""","fourth-order PDE (partial differential equation)","1"
"""counterfeit neural system nonlinear autoregressive moving normal""","Backpropagation neural network Nonlinear Autoregressive Moving-average (BPNN-NARMA)","1"
"""worldwide telecommunication association""","International Telecommunication Union","1"
"""Principal skewness investigation""","Principal Skewness Analysis (PSA)","1"
"""principal recurrence (F0)""","fundamental frequency (F0)","1"
"""neighbouring parallel example""","local binary pattern (LBP)","1"
"""otherworldly collocation techniques (CSM)""","(?)","1"
"""misfortune for dream""","loss of vision","1"
"""performance center key controller""","theatre key controller","1"
"""attractive commotion""","magnetic noise","1"
"""Web Convention form 6""","Internet Protocol version 6 (IPv6)","1"
"""feathery C implies""","fuzzy C means","1"
"""overseen and independent learning""","supervised and unsupervised learning","1"
"""photo segregaton""","???","1"
"""exergy mishap""","exergy loss","1"
"""unique mystery coating""","hidden layer","1"
"""novel versatile decreased class steady portion extraordinary learning machine""","adaptive reduced class incremental kernel extreme learning machine (ARCIKELM)","1"
"""low-dimension laser treatment""","low-level laser treatment (LLLT)","1"
"""little bunch size""","batch size (of training data)","1"
"""mechanical guerilla""","industrial revolution","1"
"""semi-administered fluffy bunching""","semi-supervised fuzzy clustering","1"
"""practical memory illness""","functional memory disorder (FMD)","1"
"""poor-goal ADCs""","low-resolution ADCs","1"
"""Deviated mental conduct""","mental disorders","1"
"""excess helpful life""","remaining useful life (RUL)","1"
"""general nonconcurrent collector transmitter""","universal asynchronous receiver transmitter (UART)","1"
"""Typical Variation Removed (AVE)""","Average variance extracted (AVE)","1"
"""narrow lactose mindedness""","lactose intolerance","1"
"""comparative debasement within the sight of noise""","relative decrease in the presence of noise (?)","1"
"""natural specialists respond contrastingly""","natural substances/compounds/components react specifically","1"
"""ghostly bunching""","spectral clustering","1"
"""higher lignin substance""","high lignin content","1"
"""web power acquaintanceships""","internet service providers (ISPs)","1"
"""cocky acclimation""","???","1"
"""small voice growth cases""","larynx cancer","1"
"""order or relapse undertaking""","classification or regression task","1"
"""vector mistake amendment strategy""","vector error correction model (VECM)","1"
"""lazy dirichlet allocation""","Latent Dirichlet Allocation (LDA)","1"
"""direct and strategic backslide""","linear and logistic regression","1"
"""dynamic time misshaping""","Dynamic Time Warping (DTW)","1"
"""advance variety in shading""","differ in (skin) color","1"
"""schmaltzy analysis""","sentiment analysis","1"
"""text-subordinate frameworks""","text-dependent systems (for speaker recognition)","1"
"""optical reasonability tomtate""","optical coherence tomography","1"
"""supernatural homotopy assessment technique""","Spectral-Homotopy Analysis Method (SHAM)","1"
"""transcribed person recognition""","handwritten character recognition","1"
"""classdriverassistance framework""","advanced driving assistance system (ADAS)","1"
"""minimum mandatory vitality""","minimum required energy","1"
"""oxides yielded from calcinations""","???","1"
"""protein-surface restricting situations""","protein-surface binding sites","1"
"""weighted respective channel""","weighted bilateral filter","1"
"""single style fiber""","single mode fiber (SMF)","1"
"""creepy crawly affectability""","insect susceptibility","1"
"""obsessive mind identification framework""","pathological brain detection system (PBDS)","1"
"""dazzle source partition""","blind source separation","1"
"""movable adhesion particle""","antibodies","1"
"""Mel Frequence Cepstral Portions""","Mel Frequency Cepstral Coefficients","1"
"""quiet part evacuation""","silence removal","1"
"""sweep and ulna""","radius and ulna","1"
"""managed grouping draws near""","supervised clustering approaches","1"
"""fiery flagging pathways""","inflammatory signalling pathways","1"
"""outwardly powerless individuals""","visually impaired individuals","1"
"""Stochastic Effects by Population, Affluence, and Technology""","Stochastic Impacts by Regression on Population, Affluence, and Technology (STIRPAT)","1"
"""direct character checks""","identity checks","1"
"""fractional auto-correlation work""","Partial Auto-Correlation Function (PACF)","1"
"""feature pyramid arrange""","feature pyramid network (FPN)","1"
"""fuzzy enlistment structure""","fuzzy inference system","1"
"""individual mechanized partners""","personal digital assistants (PDAs)","1"
"""handling and Vegard RISC processor""","Alf and Vegard's RISC processor (AVR)","1"
"""ok-fold move-validation""","k-fold cross-validation","1"
"""shrewd implanted frameworks""","smart embedded systems","1"
"""van cave Bergh""","van den Bergh","1"
"""a fixed of enter features""","a set of input features","1"
"""in multitudinous words""","in other words","1"
"""bigger miniature atoms""","larger molecules","1"
"""guard dog equipment""","watchdog timer","1"
"""kind I blunder""","type I error","1"
"""incremental sales strategies""","cross-selling","1"
"""photovoltaic-based board squander""","photovoltaic panel waste","1"
"""regular intestinal irritation""","chronic intestinal inflammation","1"
"""assistance vector contraption""","support vector machine","1"
"""monetary and execution articulation""","financial and performance","1"
"""ethereal sensor""","remote sensor","1"
"""glycemic level locale""","glucose regions","1"
"""various block extents""","different block lengths","1"
"""focal and fringe nervous system""","Central and Peripheral Nervous System (CNS, PNS)","1"
"""solid control (HC)""","healthy control (HC) [subjects]","1"
"""absolute running season of the calculation""","total runtime of the algorithm?","1"
"""positioned off base""","misguided","1"
"""forbidden hunt"" AND ""Tabu""","Tabu search","1"
"""delineation card""","graphic card","1"
"""zero-request mode""","zeroth-order mode","1"
"""limited difference time range method""","finite-difference time-domain","1"
"""reflection-enhancement assault""","reflection/amplification attack","1"
"""shadiness taking care of""","fog computing","1"
"""mean Total Deviations (MAD)""","mean absolute deviation (MAD)","1"
"""final but no longer least""","last but not least","1"
"""choice table (DT)""","Decision Tree (DT)","1"
"""charm disturbance""","???","1"
"""bronchitis respiratory malady""","respiratory diseases ?","1"
"""discourse mocking recognition""","voice spoofing detection","1"
"""feel extreme torment""","experience pain","1"
"""entomb advanced resonator""","interdigital resonator","1"
"""negligible paired design""","local binary pattern (LBP)","1"
"""center key controller""","trusted key centre (TKC)","1"
"""organized layer assault""","network-layer attack","1"
"""Local Idea Move Program""","Community Based Care Transition Program (US healthcare)","1"
"""semi-managed taking in""","semi-supervised (machine) learning","1"
"""room motivation response""","Room Impulse Response (RIR)","1"
"""wellspring of commotion contamination""","source of noise pollution","1"
"""Acquaintance in Registered Nurse""","Associate in Nursing","1"
"""discharged conditioner""","modified activated carbon","1"
"""Versatile Beanstalk""","Elastic Beanstalk (AWS service)","1"
"""provocative gut illnesses""","inflammatory bowel disease","1"
"""spillage vitality recuperation scheme""","waste energy recovery system","1"
"""information center based fluffy min-max neural system""","Data-core-based fuzzy min-max neural network (DCFMN)","1"
"""cloud benefit focuses""","cloud service centers","1"
"""convenient Violent Bluetooth associate""","???","1"
"""3-manner handshaking""","3-way handshaking","1"
"""face to face placeable information""","personally identifiable information (PII)","1"
"""tick audience""","a checkbox","1"
"""nice probability ratio""","positive predictive value (PPV)","1"
"""the mark of graphs""","graph labeling","1"
"""problems assistance developed transportable cloud""","Emergency Help Alert Mobile Cloud","1"
"""blue-contacted skin""","blue-tinged skin","1"
"""Assessed utility co-event pruning""","Estimated Utility Cooccurrence Pruning (EUCP)","1"
"""multilayer small scale strip fix reception apparatus""","microstrip patch antenna","1"
"""the shafts of the agar""","streaked agar","1"
"""enhanced self-organization of data packet (EAOD)""","??? (found in 10.1155/2022/1332373)","1"
"""neural system association (CNNT)""","??? (found in 10.1155/2022/3861620)","1"
"""half breed data-driven model""","hybrid data-driven model","1"
"""tungstic corrosive""","tungstic acid","1"
"""eccentric forest area""","random forest","1"
"""metal microorganisms communication""","metal-microorganism interaction","1"
"""chitosan mixed alginate lattice""","chitosan blended alginate matrix (CBAM)","1"
"""honest to goodness economy""","real economy","1"
"""speech recognition process (SER)""","speech emotion recognition (SER)","1"
"""move-layer framework""","cross-layer framework","1"
"""unveiling of traffic signs""","traffic sign detection","1"
"""lone precious stone""","single crystal","1"
"""cross breed diode""","hybrid diode","1"
"""first and second snapshots of the slope""","first and second moments of the gradient","1"
"""high-measurement highlight vector""","high-dimensional feature vector","1"
"""CRISPR-related quality""","CRISPR-associated protein","1"
"""diminishing neighboring resources (DLN)""","(?)","1"
"""strands appended to curls""","beta strands connected to coils","1"
"""contrast-upgrade calculation""","contrast enhancement algorithm","1"
"""section and retrogression undertakings""","classification and regression tasks","1"
"""gigantic layered space""","large dimensional space","1"
"""gooey parameters""","viscous parameters(?)","1"
"""identifier characteristic in a particular quasi""","quasi-identifier","1"
"""catalysis of nitrophenol to aminophenol""","catalytic reduction of nitrophenol to aminophenol","1"
"""symmetrical recurrence multiple access""","Orthogonal frequency-division multiplexing (OFDM)","1"
"""convolutional brain connection""","Convolutional Neural Network (CNN)","1"
"""media line's hand module""","MediaPipe Hands module","1"
"""clinical druggies""","clinical patients","1"
"""touchy monetary records""","sensitive financial data","1"
"""humanity growth gauge""","Human Development Index","1"
"""trust-in-the-untouchable""","trusted third party","1"
"""quite properly privateers""","pretty good privacy (PGP)","1"
"""programmed voyage control""","adaptive cruise control (ACC)","1"
"""guidance set architecture""","instruction set architecture (ISA)","1"
"""Cancer Actualities and Figure think""","Cancer Facts and Figures report","1"
"""boosted bushes""","boosted trees","1"
"""zenith sign to upheaval extent""","peak signal to noise ratio","1"
"""the arrangements were filled in a crystal form""","the solutions were poured into a glass beaker","1"
"""Pochhammer documentation""","Pochhammer symbol","1"
"""practice tolerance tests""","exercise tolerance tests (ETT)","1"
"""teach timing and teach put off""","???","1"
"""free supervector speaker""","speaker-independent supervector","1"
"""dim neural organization""","grey neural network","1"
"""mawkishness scrutiny""","sentiment analysis","1"
"""uncooked wav documents""","raw wav files","1"
"""lively energy image""","active energy image","1"
"""lack of definition against picked ciphertext assaults""","INDistinguishability under Chosen Ciphertext Attack (IND-CCA)","1"
"""tainting length-mindful irregular woods""","infection-size-aware Random Forest","1"
"""higher request crossing""","higher order crossing (HOC)","1"
"""unmarried sideband""","single sideband","1"
"""sickle cell pallor""","sickle cell anemia","1"
"""unearthly and cepstral""","spectral and cepstral","1"
"""sigmoid crushing capacity""","sigmoid activation fuction","1"
"""slyness teeth""","wisdom teeth","1"
"""wrong data implantation ambushes""","false data injection attacks (FDIAs)","1"
"""formalin-fixed paraffin-inserted""","Formalin-Fixed Paraffin-Embedded (FFPE)","1"
"""discourse molded clamor""","speech shaped noise","1"
"""commercial center demeanors""","market trends","1"
"""Vineland Exploration Station""","Vineland Research Station","1"
"""Discriminant strong nearby Binary sample""","Discriminative Robust Local Binary Pattern (DRLBP)","1"
"""fluffy demonstration""","fuzzy logic","1"
"""appropriated renouncing for association""","distributed denial-of-service (DDoS)","1"
"""optoelectrical residence""","optoelectrical property","1"
"""shrewd loaning""","smart lending","1"
"""police logical improvement department""","Police Scientific Development Branch","1"
"""mean supreme mistake""","absolute error","1"
"""monstrous machine type communication""","massive machine type communication (mMTC)","1"
"""misusing spatial diversity""","exploiting spatial diversity","1"
"""usually least squares (OLS)""","ordinary least squares (OLS)","1"
"""urogenital parcel""","urogenital tract","1"
"""item key point likeness""","Object Keypoint Similarity (OKS)","1"
"""enlist casting a ballot""","register votes","1"
"""poisonous quality of the blend""","toxic effects","1"
"""essential nearby arrangement search instrument""","basic local alignment search tool (BLAST)","1"
"""slither personal property""","slip effect","1"
"""triplet plates were employed""","triplicate plates were used","1"
"""fast chronic contrastive divergence""","Fast Persistent Contrastive Divergence (FPCD)","1"
"""savvy assistive framework""","smart assistive system","1"
"""touchy banking facts""","sensitive financial data","1"
"""keeping up with bunches""","maintaining clusters","1"
"""hydrobromic corrosive""","hydrobromic acid","1"
"""twenty initial century""","twenty-first century","1"
"""five-hitter greenhouse emission""","5% CO2","1"
"""Boolean hunt""","Boolean search","1"
"""harmful remark order""","toxic comment classification","1"
"""cutthroat concealment""","competitive stealth (?)","1"
"""wisconsin bosom malignant growth determination""","Wisconsin Breast Cancer Diagnosis?","1"
"""unapproved get right of passage""","unauthorized access","1"
"""bodily layer broadcast channel""","physical layer network channel","1"
"""unearthly closeness""","spectral similarity","1"
"""foremost element evaluation""","principal component analysis (PCA)","1"
"""scale-invariant trademark redesign""","scale-invariant feature transform (SIFT)","1"
"""warm stereo vision""","thermal stereo vision","1"
"""watchful edge picture esteem""","Canny edge image value","1"
"""cloud stockpiles worker""","cloud storage server","1"
"""average change extricated (AVE)""","(?)","1"
"""breeze speed profile""","wind speed profile","1"
"""irregular get right of passage to""","random access","1"
"""elegant imbalanced dataset""","class-imbalanced dataset","1"
"""log range of discourse""","log spectrum of speech","1"
"""closeness to hydrolase proteins""","similarity to hydrolase proteins","1"
"""complex exchange quality""","gene responsible for conjugative transfer","1"
"""discourse and tune""","speech and music","1"
"""straightly detachable information""","linearly separable data","1"
"""Program For Worldwide Understudy Evaluation (PISA)""","Programme For International Student Assessment (PISA)","1"
"""venue movement encryption key (CTEK)""","??? (found in 10.1155/2022/6000375)","1"
"""discourse feeling order""","speech emotion classification","1"
"""applying programming connection point""","application programming interface (API)","1"
"""area of letters in order acknowledgment""","alphabet recognition","1"
"""pragmatic byzantine adaptation to non-critical failure""","Practical Byzantine Fault Tolerance (PBFT)","1"
"""used rectangular (MSE)""","mean square (MSE)","1"
"""readiness and testing correctness""","training and testing accuracy","1"
"""Interest Fashion"" AND ""attention model""","attention model","1"
"""machine gadgets get to control""","mobile device access control","1"
"""lower-pay economies""","lower-income countries","1"
"""order line capability""","command-line function","1"
"""South Asian Local Cooperation""","South Asian Association for Regional Cooperation (SAARC)","1"
"""Gaussian sifted""","Gaussian filtered","1"
"""free hard cut space""","free hard drive space","1"
"""planned companion think""","prospective cohort study","1"
"""renouncing for association""","denial-of-service (DoS) attack","1"
"""lumber classifier""","tree classifier","1"
"""otherworldly edge recurrence""","spectral edge frequency (SEF)","1"
"""Georgia home kid pooling""","max pooling","1"
"""PC shrewdness""","artificial intelligence","1"
"""remote body zone methods""","wireless body area networks","1"
"""power weighted data transmission""","intensity weighted bandwidth","1"
"""temporal and spatial stacked car encoder""","Temporal and Spatial Stacked Autoencoder (TSSAE)","1"
"""superficial cerebrum association""","shallow neural network (?)","1"
"""nonsteroidal antagonistic-angering drugs""","nonsteroidal antiinflammation drugs (NSAIDs)","1"
"""conscientiousness for the thrashing""","responsibility for the loss","1"
"""records in transit and at relaxation""","data in transit and at rest","1"
"""selection timber"" AND ""decision forest""","decision forest","1"
"""cardiogenic daze""","cardiogenic shock","1"
"""imperfection ground structure""","defected ground structure","1"
"""forbidden pursuit"" AND ""Tabu""","Tabu search","1"
"""baselines' scores of bilingual evaluation""","bilingual evaluation understudy (BLEU) (?)","1"
"""RBF Part strategy""","RBF kernel method","1"
"""fleecy reason""","fuzzy logic","1"
"""moo warm steadiness""","low thermal stability","1"
"""capacity space aggregate layers""","power domain multiplexing layer (PDML)","1"
"""Recursive Auto acquainted Memory""","Recursive Auto-Associative Memory (RAAM)","1"
"""Elective Question Goal (ADR)""","Alternative Dispute Resolution (ADR)","1"
"""shakiness record""","instability index","1"
"""characteristic specific graph""","abstract semantic graph (ASG)","1"
"""courage injure""","nerve injury","1"
"""weight manipulation plan""","diet","1"
"""Mel Occurrence Cepstrum factors""","Mel Frequency Cepstral coefficients (MFCC)","1"
"""quick clip RNA""","Short hairpin RNA (shRNA)","1"
"""deep transfer studying""","deep transfer learning","1"
"""non-straight ARMA""","Nonlinear Autoregressive Moving-average (NARMA)","1"
"""quite suitable privateness""","pretty good privacy (PGP)","1"
"""assignment explicit dataset""","task-specific dataset","1"
"""heart-related entanglements""","heart-related complications","1"
"""nitric oxide benefactor""","nitric oxide donor","1"
"""anticipated cross-entropy""","expected cross entropy (ECE)","1"
"""ribosomal RNA huge subunit""","ribosomal RNA large subunit","1"
"""gathering activity encryption key""","group traffic encryption key (GTEK)","1"
"""virtual spill source (VLS)""","(?)","1"
"""rationale cell cluster""","Logic Cell Array (LCA)","1"
"""completely related course""","fully connected cascade (FCC) neural network","1"
"""least vast bit""","least significant bit (LSB)","1"
"""fuss scratch-off""","noise cancellation","1"
"""children cross lacking""","children go missing","1"
"""proposed have a take a look at""","proposed study","1"
"""beddy-bye scheduling""","sleep scheduling","1"
"""laminal passing""","laminar flow","1"
"""HER2 (shaggy related 2)""","HER2 (hairy-related 2)","1"
"""associatealog""","associate","1"
"""foreseeing a solitary class""","predicting a single class","1"
"""acknowledge mastercard irregularities""","detect Mastercard anomalies","1"
"""portable educating associate""","mobile teaching assistant","1"
"""enormous preparing artificial neural networks""","Massive-Training Artificial Neural Network (MTANN)","1"
"""wavering and pivot""","vibration and rotation","1"
"""voice signal affirmation""","speech recognition","1"
"""bound together domain""","United Kingdom","1"
"""unduly goliath""","excessively large","1"
"""venue activity encryption key (CTEK)""","??? (found in 10.1155/2022/6000375)","1"
"""hereditary data of the phone""","genetic information of the cell","1"
"""mind utilitarian attractive reverberation imaging""","Functional magnetic resonance imaging (fMRI)","1"
"""Vienna Show on Street Signs and Signals""","Vienna Convention on Road Signs and Signals","1"
"""enactment condition"" AND ""activation function""","activation function","1"
"""molecule swarm advancement on minimum middle squares""","particle swarm optimization on least-median-of-squares (PSO-LMedS)","1"
"""malevolent help""","malware (?)","1"
"""vital success factor (CSF)""","critical success factor (CSF)","1"
"""ransomware location and assurance""","ransomware detection and classification","1"
"""pre-arranged BERT model""","pre-trained BERT model","1"
"""front-stop windowing""","front-end windowing","1"
"""location beneath the ROC curve""","area under the ROC curve (AUC)","1"
"""shrewd relating contract""","smart contract","1"
"""anisidine esteem""","anisidine value","1"
"""reckoned axial tomography""","computerized axial tomography (CAT)","1"
"""photonic taboo band""","photonic band gap","1"
"""Location Goal Convention""","Address Resolution Protocol (ARP) spoofing","1"
"""moo thickness lipoproteins""","Low-density lipoprotein (LDL)","1"
"""non-straight advancement fractional differential equation""","Nonlinear Partial Differential Equation (NPDE)","1"
"""online networking share catches""","social media share buttons","1"
"""spot decline"" AND ""despeckling""","speckle reduction","1"
"""nano helped gadget""","nanotechnology or nanotech device","1"
"""summed up straight blended model""","Generalized Linear Mixed Model (GLMM)","1"
"""protracted brief timeframe period memory (LSTM)""","long short-term memory (LSTM)","1"
"""voice replay ridiculing""","voice replay spoofing","1"
"""adjusted recursive component end""","modified recursive feature elimination (MRFE)","1"
"""agrocin 84-encoding quality""","gene (or region) encoding agrocin 84","1"
"""Boltzmann Forbidden Method""","Restricted Boltzmann Machine (RBM)","1"
"""Discriminant sturdy local Ternary pattern""","Discriminative Robust Local Ternary Pattern (DRLTP)","1"
"""beneath lifted weight""","under elevated pressure","1"
"""16KHz recurrence""","16 kHz frequency","1"
"""obliged trio misfortune layer (CTLL)""","constrained triplet loss layer (CTLL)","1"
"""integrated abdicate""","integrated loss","1"
"""meta-getting the hang of""","meta-learning","1"
"""hepatitis infectious malady""","hepatitis diseases ?","1"
"""Non-Standard limited contrast technique (NSFD)""","(?)","1"
"""carbon secure and storage""","carbon capture and storage (CCS)","1"
"""goof area""","error region","1"
"""cutthroat specialties""","competitive strategy","1"
"""sound source confinement""","sound source localization","1"
"""individuals of higher scales (APL)""","(?)","1"
"""upgrading thick trajectories""","improved dense trajectories (IDT)","1"
"""suggested innocuous stage""","recommended safe level","1"
"""Organizational Disruption Recognition Framework""","Network Intrusion Detection System (NIDS)","1"
"""Hurst border""","Hurst parameter/exponent","1"
